,track,year,month,day,racenum,firstnum,first,secondnum,second,thirdnum,third,win,place1,place2,show1,show2,show3
0,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
1,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
2,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
3,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
4,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
5,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
6,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
7,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
8,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
9,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
10,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
11,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
12,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
13,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
14,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
15,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
16,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
17,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
18,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
19,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
20,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
21,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
22,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
23,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
24,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
25,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
26,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
27,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
28,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
29,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
30,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
31,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
32,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
33,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
34,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
35,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
36,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
37,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
38,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
39,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
40,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
41,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
42,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
43,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
44,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
45,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
46,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
47,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
48,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
49,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
50,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
51,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
52,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
53,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
54,AQU,1998,11,29,1,9,SUNSHINE SAPPHIRE,7,T TIME SUE,10,IRON CROSS,6.30,3.70,2.80,5.70,3.30,3.00
55,AQU,1998,11,29,2,1,TRES CORONAS,4,PRINCESS OF ATTICA,6,FIRMNESS,3.10,2.40,2.20,2.80,2.40,2.70
56,AQU,1998,11,29,3,1,LAKE PONTCHARTRAIN,3,SIMUD (CHI),2,RAPID ROBYN,10.60,5.40,4.10,4.00,3.20,3.60
57,AQU,1998,11,29,4,2,BALLY DUFF DANCER,5,LA BELLE CHANTAL,9,LISTEN MISSY,23.60,9.10,5.40,3.20,2.70,3.80
58,AQU,1998,11,29,5,4,CORROBORATOR,8,EWER ALL WET,2,FIRST RODEO,10.80,3.60,2.60,2.40,2.10,2.40
59,AQU,1998,11,29,6,2,SEEKING THE SKY,3,STRIKING MOVE,1,RUM PUNCH,5.20,3.00,2.10,3.60,2.30,2.20
60,AQU,1998,11,29,7,6,YARROW BRAE,2,MR. GROUSH,3,MELLOW ROLL,4.70,3.30,2.40,4.50,2.50,2.20
61,AQU,1998,11,29,8,4,TEXAS GLITTER,1,SHADOW CASTER,5,POLAR OPPOSITES,2.80,2.20,2.10,2.90,2.10,2.10
62,AQU,1998,11,29,9,6,DANIELLE'S HALO,7,TOWER OF HOPE,9,GET TIED ON,,,,,,
63,AQU,1998,12,10,1,10,SPURRED DEMONS,8,OBLIVIOUS T.,4,PERSONAL FIGHTER,27.80,6.50,4.60,2.60,2.40,4.20
64,AQU,1998,12,10,2,5,SAMPSON,4,MADGICAL,3,IVORY CASTLE,2.60,2.20,2.10,2.80,2.10,2.10
65,AQU,1998,12,10,3,3,JADE SKY,1,INSPIRED LASS,7,DREWS TOUCH,51.50,19.20,8.60,3.90,3.00,3.10
66,AQU,1998,12,10,4,3,MASKED,5,SPECTACULAR LADY,2,MINI SCENT,17.00,8.40,7.60,6.20,6.00,11.80
67,AQU,1998,12,10,5,4,TAKINGTHEHARDLINE,12,BELABOR,11,GUN RACK,3.80,2.70,2.40,3.80,2.90,12.20
68,AQU,1998,12,10,6,2b,ROBIN GOODFELLOW,1,PRO RULER,6,FIDDLER ON DE HOOF,4.70,3.00,2.30,6.20,2.90,2.50
69,AQU,1998,12,10,7,7,SPIN THE STARS,3,WIDE RECEIVER,1a,PLEASANT POPE,4.40,2.70,2.50,4.90,3.70,6.30
70,AQU,1998,12,10,8,9,TALAVERA,4,SOPHISTICATED MAN,3,SANFORD SAM,19.80,9.80,5.40,6.70,5.00,3.20
71,AQU,1998,12,10,9,1,COLD STARE,11,JET BLACK,8,BIRDIE'S SISTER,,,,,,
72,AQU,1998,12,11,1,1,AMERICAN DOUBLE,5,SMART PRO,2,KERRY OFFALY,6.40,3.40,2.90,3.70,3.50,10.20
73,AQU,1998,12,11,2,7,ROYAL ENSIGN,8,VICRID,6,GUN BARREL,27.40,8.80,3.60,4.50,2.60,2.50
74,AQU,1998,12,11,3,3,TRULY CLASSIC,5,LOLLY GO LITELY,9,AUNT HOPE,4.80,3.30,2.60,5.10,3.30,3.70
75,AQU,1998,12,11,4,7,PHILABUSTA,11,WAFARE WARRIOR,8,MACHINE TO TOWER,32.40,11.80,5.50,8.40,4.80,3.60
76,AQU,1998,12,11,5,8,RAZE,1,MISSIONARY MONK,2,SONG DYNASTY,27.00,13.80,7.70,12.60,6.40,3.20
77,AQU,1998,12,11,6,2,BLUSHING DEED,1,FINANCIAL LADY,4,HOT ROD HELEN,3.00,2.10,2.10,2.30,2.10,2.10
78,AQU,1998,12,11,7,1,FEATHERED,7,BIOGIO'S BABY,2,FAST AND FORTUNATE,14.40,8.50,4.40,10.80,5.00,2.80
79,AQU,1998,12,11,8,6,ESTEEMED FRIEND,5,GOLDEN TENT,4,AMERICAN CHAMP,27.00,12.80,2.10,7.50,2.10,2.10
80,AQU,1998,12,11,9,6,FRANKLY SCARLET,5,CLAROMATIC,2,GRACIOUS JOAN,,,,,,
81,AQU,1998,12,12,1,5,PUERTO PLATA,1,ROYAL RIFF,9,FORTY CANDLES,4.10,2.90,2.40,9.80,5.40,3.90
82,AQU,1998,12,12,2,1,ALASKAN LIGHTS,5,SILVER OVER FINISH,2,SELECT SESSION,13.20,7.60,4.30,10.20,5.30,3.30
83,AQU,1998,12,12,3,2,LYRICAL GHOST,3,GOLD COLONY,6,REAL MERRY,8.00,3.20,2.70,2.80,3.20,2.70
84,AQU,1998,12,12,4,1,YOUBETTERBELIEVEIT,5,STRIKING MOVE,7,CARLEAVILLE,6.00,3.00,2.50,2.70,2.30,2.60
85,AQU,1998,12,12,5,8,PISTOL PACKN ANNIE,2b,EFFERVESCENCE,2,CHANSON DE SOLEIL,11.40,5.00,4.00,3.30,3.70,3.30
86,AQU,1998,12,12,6,4,AAVELORD,5,DEMI'S BRET,6,WATCH THE BIRD,16.60,6.90,3.90,5.00,3.20,2.70
87,AQU,1998,12,12,7,2,VISIT THE CIRCLE,4,EMILYS DAD,3,TOP G MAN,14.40,7.30,4.80,5.00,3.60,4.50
88,AQU,1998,12,12,8,3,FIRE KING,1,LAS VEGAS ERNIE,4,MR. SINATRA,18.60,8.50,3.90,13.60,5.30,2.60
89,AQU,1998,12,12,9,7,TORGAN,9,ESPRESSO,8,RED VALOR,,,,,,
90,AQU,1998,12,13,1,5,REMEMBER CASS,6,QUIET CALL,1,TOURAINE,5.10,3.00,2.40,4.30,3.40,4.20
91,AQU,1998,12,13,2,4,GRATESMANINEVERNEW,8,STAR PLOT,6,STYLE BY CLARA,4.80,3.00,2.60,5.10,3.30,6.30
92,AQU,1998,12,13,3,1,COOL CAT,5,RAWAFED,8,FUNLOVING FELLA,4.70,3.70,2.60,19.80,10.00,3.90
93,AQU,1998,12,13,4,6,LOVE SPIEL,2,SOLO ROLO,4,TOWER OF HOPE,7.50,4.70,2.70,6.30,3.40,2.30
94,AQU,1998,12,13,5,10,BADGE,11,SAILOR'S WARNING,1,OROS,6.80,3.80,2.80,4.40,3.00,8.10
95,AQU,1998,12,13,6,2,HOME ON THE RIDGE,5,JOHNNY LEGIT,4,KING RUCKUS,7.00,3.60,2.40,2.90,2.10,2.40
96,AQU,1998,12,13,7,6,REBOOT,1,SHERUNSWITHWOLVES,5,SHESBIG,18.00,8.90,5.30,17.40,7.60,2.80
97,AQU,1998,12,13,8,3,LONG DISTANCE,2,LUCK ABOUNDS,1,FICKLE FANNY,3.50,2.70,2.10,4.10,2.30,2.30
98,AQU,1998,12,13,9,11,QUIET CALLER,9,RULINA,2,BEEP BOBBIE,,,,,,
99,AQU,1998,12,16,1,4,SWEEP THE SALT,1,TRUTH VALUE,3,FLIGHT DECK,13.80,5.50,4.30,3.00,2.50,7.20
100,AQU,1998,12,16,2,9,WAKI WOMAN,5,MARISA MIA,4,IS A DOLL,28.40,12.60,10.80,4.50,3.80,5.00
101,AQU,1998,12,16,3,2,TUXEDO BEAU,6,STEAMBOAT ROAD,5,CAMFORD,15.60,7.20,4.20,4.40,3.30,4.60
102,AQU,1998,12,16,4,7,DUCK GRAYSON,8,FLYING MAX,3,ROYAL REDCOAT,13.60,7.30,6.50,19.40,12.80,14.20
103,AQU,1998,12,16,5,10,THEPROMONROE,3,GOLD STAR DEPUTY,4,SILVER KIPPER,7.60,4.80,3.50,6.20,4.20,3.00
104,AQU,1998,12,16,6,1a,VEILED PROMISES,6,ALL NET JOE,2,SOMETHING SLEAZY,7.00,3.70,2.80,4.70,3.70,6.00
105,AQU,1998,12,16,7,4,SNO CONNECTION,3,PRINCESS PAMGADDY,9,MOTEL MALIBU,39.40,14.00,6.90,8.10,4.00,2.80
106,AQU,1998,12,16,8,12,DI'S TIME,3,BUFFALO SUE,6,TRULY GRACIOUS,43.40,18.00,11.20,7.20,4.90,8.30
107,AQU,1998,12,16,9,3,FARM SAVER,1,GOOD MAN SAM,2,DOCTOR ED,,,,,,
108,AQU,1998,12,17,1,10,TENNESSEE BOOKIE,5,KUMO,2,DARK DEPUTY,20.60,9.50,6.90,5.50,4.40,18.40
109,AQU,1998,12,17,2,5,DR J,4,LEGAL LAND,7,THUNDER BOW,15.00,5.40,3.90,3.70,3.30,4.60
110,AQU,1998,12,17,3,4,MISS VESUVIO,2,TIA'S HALO,3,STARTING ALLY,9.40,4.90,3.80,5.90,5.00,6.30
111,AQU,1998,12,17,4,12,COLUMBIA LION,5,COACH RODGER,3,COBBLERS ROCK,12.00,6.30,4.10,3.60,2.60,3.40
112,AQU,1998,12,17,5,8,MR. CELLULAR,7,CARSON COUNTY,3,DARING DAVID,5.20,3.70,2.70,5.60,3.20,2.90
113,AQU,1998,12,17,6,3,PRIME DIRECTIVE,4,WEATHER CALL,6,SCOOT THE GOOSE,3.90,3.10,2.30,10.40,7.20,4.80
114,AQU,1998,12,17,7,6,MS. CALABASH,4,SLEEK BEAUTY,2,TUNDRA BOUND,14.00,5.70,3.60,5.40,3.80,6.20
115,AQU,1998,12,17,8,2,LICENSE FEE,6,ANOTHER BETTY,8,VIVACIOUS SUZI,5.40,3.50,2.70,9.10,5.00,5.00
116,AQU,1998,12,17,9,6,LA FEMME M,4,GIVE AND TALC,2,MARIANO,,,,,,
117,AQU,1998,12,18,1,7,TRICK E TICKET,11,KRYSTAL,1,EXPLETIVE DELETED,8.10,4.30,3.10,6.80,5.90,5.30
118,AQU,1998,12,18,2,5,FRANK T.,6,FORTRESS STRONG,9,NATIVE TRIBE,14.80,9.30,6.40,15.40,8.50,9.40
119,AQU,1998,12,18,3,5,NEW ISSUE,7,SUNDAY SUPPER,8,RELEASE ME,20.80,9.00,5.40,11.00,8.40,17.80
120,AQU,1998,12,18,4,8,TANGO TAPPIN,6,DOUBLE ENTENDRE,2,FINALLY B. B.,13.80,8.00,4.00,6.20,3.70,2.80
121,AQU,1998,12,18,5,9,SONG OF CROW,5,GLAIN,2,RAZE,62.00,21.20,10.00,15.40,7.70,5.30
122,AQU,1998,12,18,6,6,T STORM,2,KNOT SO CLEVER,3,PRESIDENT'S GIRL,58.00,20.20,2.10,8.10,2.10,2.10
123,AQU,1998,12,18,7,8,GALLOPING GAEL,6,WILD IMAGINATION,1a,BACK RING AL,101.50,40.00,10.20,15.40,8.70,4.00
124,AQU,1998,12,18,8,2,GO AGAIN VALID,6,CHEERS AND TEARS,7,TORCH,5.10,3.40,2.70,6.50,4.30,3.60
125,AQU,1998,12,18,9,3,ONAMISSIONFROMGOD,8,TIME ALLOWED,1,IRON CROSS,,,,,,
126,AQU,1998,12,19,1,5,ALYSWELL,7,VICRID,3,JOJO'S EXPRESS,15.60,5.90,4.00,3.10,2.60,7.70
127,AQU,1998,12,19,2,10,PRINCE MONTY,11,OLIVE FLU,5,FULL SUPPORT,4.40,3.60,2.90,19.60,13.20,3.90
128,AQU,1998,12,19,3,2,STALWART'S SECRET,6,SISTER HAZEL,1,BAR NONE,7.60,3.70,2.50,6.00,3.50,2.80
129,AQU,1998,12,19,4,4,WICKED RUMOUR,8,AN ECSTATIC DOUBLE,7,PERSONAL TRAINER,5.20,3.00,2.50,3.80,2.90,5.20
130,AQU,1998,12,19,5,1,BRUSHED ON,7,FANTACULAR,2,GRANDPA ED,3.60,2.80,2.60,5.10,4.20,10.60
131,AQU,1998,12,19,6,5,RAPID ROBYN,3,FLINT AND STEEL,1a,SIMUD (CHI),13.80,6.40,2.90,4.20,2.40,2.10
132,AQU,1998,12,19,7,1,RUBY RUBLES,6,HOPE CHEST,4,PENTELIS,7.60,4.30,3.10,4.30,3.40,4.40
