,Post,Horse,Win,Place,Show,Track,Year,Finish,Odds
355,14.0,Ten Cents a Shine,,,,_Kentucky_Derby,2003,8,37.2
356,16.0,Ten Most Wanted,,,,_Kentucky_Derby,2003,9,6.6
357,11.0,Domestic Dispute,,,,_Kentucky_Derby,2003,10,4.0
358,17.0,Scrimshaw,,,,_Kentucky_Derby,2003,11,16.5
359,7.0,Offlee Wild,,,,_Kentucky_Derby,2003,12,29.9
360,1.0,Supah Blitz,,,,_Kentucky_Derby,2003,13,43.1
361,9.0,Indian Express,,,,_Kentucky_Derby,2003,14,10.8
362,10.0,Lone Star Sky,,,,_Kentucky_Derby,2003,15,52.1
363,2.0,Brancusi,,,,_Kentucky_Derby,2003,16,29.3
364,1.0,Limehouse,,,,_Kentucky_Derby,2004,4,41.7
365,11.0,The Cliff's Edge,,,,_Kentucky_Derby,2004,5,8.2
366,4.0,Action This Day,,,,_Kentucky_Derby,2004,6,43.4
367,14.0,Read the Footnotes,,,,_Kentucky_Derby,2004,7,22.5
368,13.0,Birdstone,,,,_Kentucky_Derby,2004,8,21.2
369,18.0,Tapit,,,,_Kentucky_Derby,2004,9,6.4
370,12.0,Borrego,,,,_Kentucky_Derby,2004,10,14.2
371,2.0,Song of the Sword,,,,_Kentucky_Derby,2004,11,55.9
372,8.0,Master David,,,,_Kentucky_Derby,2004,12,10.6
373,19.0,Pro Prado,,,,_Kentucky_Derby,2004,13,53.5
374,16.0,Castledale,,,,_Kentucky_Derby,2004,14,21.9
375,6.0,Friends Lake,,,,_Kentucky_Derby,2004,15,18.5
376,7.0,Minister Eric,,,,_Kentucky_Derby,2004,16,22.5
377,17.0,Pollard's Vision,,,,_Kentucky_Derby,2004,17,24.0
378,20.0,Quintons Gold Rush,,,,_Kentucky_Derby,2004,18,51.2
379,17.0,Don't Get Mad,,,,_Kentucky_Derby,2005,4,29.2
380,20.0,Buzzard's Bay,,,,_Kentucky_Derby,2005,5,46.3
381,14.0,Wilko,,,,_Kentucky_Derby,2005,6,21.7
382,16.0,Bellamy Road,,,,_Kentucky_Derby,2005,7,2.6
383,2.0,Andromeda's Hero,,,,_Kentucky_Derby,2005,8,57.3
384,7.0,Flower Alley,,,,_Kentucky_Derby,2005,9,41.3
385,11.0,High Fly,,,,_Kentucky_Derby,2005,10,7.1
386,9.0,Greeley's Galaxy,,,,_Kentucky_Derby,2005,11,21.0
387,5.0,Coin Silver,,,,_Kentucky_Derby,2005,12,38.6
388,8.0,Greater Good,,,,_Kentucky_Derby,2005,13,58.4
389,4.0,Noble Causeway,,,,_Kentucky_Derby,2005,14,12.3
390,3.0,Sun King,,,,_Kentucky_Derby,2005,15,15.7
391,13.0,Spanish Chestnut,,,,_Kentucky_Derby,2005,16,71.0
392,1.0,Sort It Out,,,,_Kentucky_Derby,2005,17,61.9
393,19.0,Going Wild,,,,_Kentucky_Derby,2005,18,59.5
394,15.0,Bandini,,,,_Kentucky_Derby,2005,19,6.8
395,6.0,High Limit,,,,_Kentucky_Derby,2005,20,22.5
396,18.0,Brother Derek,,,,_Kentucky_Derby,2006,4,24.2
397,1.0,Jazil,,,,_Kentucky_Derby,2006,4,7.7
398,6.0,Showing Up,,,,_Kentucky_Derby,2006,6,26.2
399,11.0,Sweetnorthernsaint,,,,_Kentucky_Derby,2006,7,5.5
400,14.0,Deputy Glitters,,,,_Kentucky_Derby,2006,8,60.6
401,5.0,Point Determined,,,,_Kentucky_Derby,2006,9,9.4
402,15.0,Seaside Retreat,,,,_Kentucky_Derby,2006,10,52.5
403,19.0,Storm Treasure,,,,_Kentucky_Derby,2006,11,51.9
404,17.0,Lawyer Ron,,,,_Kentucky_Derby,2006,12,10.2
405,16.0,Cause to Believe,,,,_Kentucky_Derby,2006,13,25.9
406,20.0,Flashy Bull,,,,_Kentucky_Derby,2006,14,43.0
407,12.0,Private Vow,,,,_Kentucky_Derby,2006,15,40.5
408,4.0,Sinister Minister,,,,_Kentucky_Derby,2006,16,9.7
409,7.0,Bob and John,,,,_Kentucky_Derby,2006,17,12.9
410,10.0,A.P. Warrior,,,,_Kentucky_Derby,2006,18,14.1
411,9.0,Sharp Humor,,,,_Kentucky_Derby,2006,19,30.1
412,3.0,Keyed Entry,,,,_Kentucky_Derby,2006,20,28.8
413,5.0,Imawildandcrazyguy,,,,_Kentucky_Derby,2007,4,28.9
414,1.0,Sedgefield,,,,_Kentucky_Derby,2007,5,58.6
415,16.0,Circular Quay,,,,_Kentucky_Derby,2007,6,11.4
416,15.0,Tiago,,,,_Kentucky_Derby,2007,7,14.8
417,18.0,Any Given Saturday,,,,_Kentucky_Derby,2007,8,13.6
418,13.0,Sam P.,,,,_Kentucky_Derby,2007,9,43.7
419,12.0,Nobiz Like Shobiz,,,,_Kentucky_Derby,2007,10,10.4
420,19.0,Dominican,,,,_Kentucky_Derby,2007,11,24.9
421,3.0,Zanjero,,,,_Kentucky_Derby,2007,12,36.0
422,20.0,Great Hunter,,,,_Kentucky_Derby,2007,13,25.3
423,9.0,Liquidity,,,,_Kentucky_Derby,2007,14,40.0
424,11.0,Bwana Bull,,,,_Kentucky_Derby,2007,15,50.3
425,4.0,Storm in May,,,,_Kentucky_Derby,2007,16,27.2
426,10.0,Teuflesberg,,,,_Kentucky_Derby,2007,17,51.9
427,14.0,Scat Daddy,,,,_Kentucky_Derby,2007,18,7.2
428,17.0,Stormello,,,,_Kentucky_Derby,2007,19,44.8
429,6.0,Cowtown Cat,,,,_Kentucky_Derby,2007,20,19.8
430,1.0,Cool Coal Man,,,,_Kentucky_Derby,2008,15,44.0
431,2.0,Tale of Ekati,,,,_Kentucky_Derby,2008,4,37.0
432,3.0,Anak Nakal,,,,_Kentucky_Derby,2008,7,53.0
433,4.0,Court Vision,,,,_Kentucky_Derby,2008,13,17.0
434,6.0,Z Fortune,,,,_Kentucky_Derby,2008,10,19.0
435,7.0,Big Truck,,,,_Kentucky_Derby,2008,18,28.0
436,8.0,Visionaire,,,,_Kentucky_Derby,2008,12,25.0
437,9.0,Pyro,,,,_Kentucky_Derby,2008,8,5.0
438,10.0,Colonel John,,,,_Kentucky_Derby,2008,6,4.5
439,11.0,Z Humor,,,,_Kentucky_Derby,2008,14,63.0
440,12.0,Smooth Air,,,,_Kentucky_Derby,2008,11,42.0
441,13.0,Bob Black Jack,,,,_Kentucky_Derby,2008,16,29.0
442,14.0,Monba,,,,_Kentucky_Derby,2008,20,31.0
443,15.0,Adriano,,,,_Kentucky_Derby,2008,19,28.0
444,17.0,Cowboy Cal,,,,_Kentucky_Derby,2008,9,39.0
445,18.0,Recapturetheglory,,,,_Kentucky_Derby,2008,5,49.0
446,19.0,Gayego,,,,_Kentucky_Derby,2008,17,18.0
447,16.0,Pioneerof the Nile,,,,_Kentucky_Derby,2009,2,6.3
448,7.0,Papa Clem,,,,_Kentucky_Derby,2009,4,12.2
449,11.0,Chocolate Candy,,,,_Kentucky_Derby,2009,5,10.0
450,9.0,Make Music for Me,,,,_Kentucky_Derby,2010,4,50.0
451,3.0,Noble's Promise,,,,_Kentucky_Derby,2010,5,12.0
452,1.0,Lookin at Lucky,,,,_Kentucky_Derby,2010,6,3.0
453,17.0,Dublin,,,,_Kentucky_Derby,2010,7,12.0
454,6.0,Stately Victor,,,,_Kentucky_Derby,2010,8,30.0
455,14.0,Mission Impazible,,,,_Kentucky_Derby,2010,9,20.0
456,11.0,Devil May Care,,,,_Kentucky_Derby,2010,10,10.0
457,7.0,American Lion,,,,_Kentucky_Derby,2010,11,30.0
458,13.0,Jackson Bend,,,,_Kentucky_Derby,2010,12,15.0
459,15.0,Discreetly Mine,,,,_Kentucky_Derby,2010,13,30.0
460,8.0,Dean's Kitten,,,,_Kentucky_Derby,2010,14,50.0
461,12.0,Conveyance,,,,_Kentucky_Derby,2010,15,12.0
462,19.0,Homeboykris,,,,_Kentucky_Derby,2010,16,50.0
463,20.0,Sidney's Candy,,,,_Kentucky_Derby,2010,17,5.0
464,5.0,Line of David,,,,_Kentucky_Derby,2010,18,30.0
465,16.0,Awesome Act,,,,_Kentucky_Derby,2010,19,10.0
466,18.0,Backtalk,,,,_Kentucky_Derby,2010,20,50.0
467,14.0,Shackleford,,,,_Kentucky_Derby,2011,4,12.0
468,11.0,Master of Hounds,,,,_Kentucky_Derby,2011,5,30.0
469,12.0,Santiva,,,,_Kentucky_Derby,2011,6,30.0
470,2.0,Brilliant Speed,,,,_Kentucky_Derby,2011,7,30.0
471,8.0,Dialed In,,,,_Kentucky_Derby,2011,8,4.0
472,7.0,Pants On Fire,,,,_Kentucky_Derby,2011,9,20.0
473,3.0,Twice the Appeal,,,,_Kentucky_Derby,2011,10,20.0
474,17.0,Soldat,,,,_Kentucky_Derby,2011,11,12.0
475,4.0,Stay Thirsty,,,,_Kentucky_Derby,2011,12,20.0
476,9.0,Derby Kitten,,,,_Kentucky_Derby,2011,13,30.0
477,5.0,Decisive Moment,,,,_Kentucky_Derby,2011,14,30.0
478,1.0,Archarcharch,,,,_Kentucky_Derby,2011,15,10.0
479,15.0,Midnight Interlude,,,,_Kentucky_Derby,2011,16,10.0
480,10.0,Twinspired,,,,_Kentucky_Derby,2011,17,30.0
481,20.0,Watch Me Go,,,,_Kentucky_Derby,2011,18,50.0
482,6.0,Comma To The Top,,,,_Kentucky_Derby,2011,19,30.0
483,13.0,Went The Day Well,,,,_Kentucky_Derby,2012,4,20.0
484,8.0,Creative Cause,,,,_Kentucky_Derby,2012,5,12.0
485,20.0,Liaison,,,,_Kentucky_Derby,2012,6,50.0
486,4.0,Union Rags,,,,_Kentucky_Derby,2012,7,4.5
487,7.0,Rousing Sermon,,,,_Kentucky_Derby,2012,8,50.0
488,14.0,Hansen,,,,_Kentucky_Derby,2012,9,10.0
489,10.0,Daddy Nose Best,,,,_Kentucky_Derby,2012,10,15.0
490,2.0,Optimizer,,,,_Kentucky_Derby,2012,11,50.0
491,11.0,Alpha,,,,_Kentucky_Derby,2012,12,15.0
492,16.0,El Padrino,,,,_Kentucky_Derby,2012,13,20.0
493,17.0,Done Talking,,,,_Kentucky_Derby,2012,14,50.0
494,18.0,Sabercat,,,,_Kentucky_Derby,2012,15,30.0
495,15.0,Gemologist,,,,_Kentucky_Derby,2012,16,6.0
496,9.0,Trinniberg,,,,_Kentucky_Derby,2012,17,50.0
497,12.0,Prospective,,,,_Kentucky_Derby,2012,18,30.0
498,3.0,Take Charge Indy,,,,_Kentucky_Derby,2012,19,15.0
499,1.0,Daddy Long Legs,,,,_Kentucky_Derby,2012,0,30.0
500,5.0,Normandy Invasion,,,,_Kentucky_Derby,2013,4,12.0
501,6.0,Mylute,,,,_Kentucky_Derby,2013,5,15.0
502,2.0,Oxbow,,,,_Kentucky_Derby,2013,6,30.0
503,11.0,Lines of Battle,,,,_Kentucky_Derby,2013,7,30.0
504,17.0,Will Take Charge,,,,_Kentucky_Derby,2013,8,20.0
505,15.0,Charming Kitten,,,,_Kentucky_Derby,2013,9,20.0
506,7.0,Giant Finish,,,,_Kentucky_Derby,2013,10,50.0
507,9.0,Overanalyze,,,,_Kentucky_Derby,2013,11,15.0
508,10.0,Palace Malice,,,,_Kentucky_Derby,2013,12,20.0
509,19.0,Java's War,,,,_Kentucky_Derby,2013,13,15.0
510,14.0,Verrazano,,,,_Kentucky_Derby,2013,14,4.0
511,12.0,Itsmyluckyday,,,,_Kentucky_Derby,2013,15,15.0
512,18.0,Frac Daddy,,,,_Kentucky_Derby,2013,16,50.0
513,8.0,Goldencents,,,,_Kentucky_Derby,2013,17,5.0
514,20.0,Vyjack,,,,_Kentucky_Derby,2013,18,50.0
515,13.0,Falling Sky,,,,_Kentucky_Derby,2013,19,50.0
516,1.0,Black Onyx,,,,_Kentucky_Derby,2013,0,50.0
517,0.0,Fear the Kitten,,,,_Kentucky_Derby,2013,0,0.0
518,20.0,Wicked Strong,,,,_Kentucky_Derby,2014,4,8.0
519,6.0,Samraat,,,,_Kentucky_Derby,2014,5,15.0
520,12.0,Dance With Fate,,,,_Kentucky_Derby,2014,6,20.0
521,19.0,Ride On Curlin,,,,_Kentucky_Derby,2014,7,15.0
522,14.0,Medal Count,,,,_Kentucky_Derby,2014,8,20.0
523,13.0,Chitu,,,,_Kentucky_Derby,2014,9,20.0
524,7.0,We Miss Artie,,,,_Kentucky_Derby,2014,10,50.0
525,8.0,General A Rod,,,,_Kentucky_Derby,2014,11,15.0
526,16.0,Intense Holiday,,,,_Kentucky_Derby,2014,12,12.0
527,18.0,Candy Boy,,,,_Kentucky_Derby,2014,13,20.0
528,3.0,Uncle Sigh,,,,_Kentucky_Derby,2014,14,30.0
529,15.0,Tapiture,,,,_Kentucky_Derby,2014,15,15.0
530,2.0,Harry's Holiday,,,,_Kentucky_Derby,2014,16,50.0
531,9.0,Vinceremos,,,,_Kentucky_Derby,2014,17,30.0
532,10.0,Wildcat Red,,,,_Kentucky_Derby,2014,18,15.0
533,1.0,Vicar's In Trouble,,,,_Kentucky_Derby,2014,19,30.0
534,11.0,Hoppertunity,,,,_Kentucky_Derby,2014,0,0.0
535,0.0,Pablo del Monte,,,,_Kentucky_Derby,2014,0,0.0
536,15.0,Frosted,,,,_Kentucky_Derby,2015,4,15.0
537,5.0,Danzig Moon,,,,_Kentucky_Derby,2015,5,30.0
538,3.0,Materiality,,,,_Kentucky_Derby,2015,6,12.0
539,14.0,Keen Ice,,,,_Kentucky_Derby,2015,7,50.0
540,6.0,Mubtaahij,,,,_Kentucky_Derby,2015,8,20.0
541,13.0,Itsaknockout,,,,_Kentucky_Derby,2015,9,30.0
542,2.0,Carpe Diem,,,,_Kentucky_Derby,2015,10,8.0
543,21.0,Frammento,,,,_Kentucky_Derby,2015,11,50.0
544,9.0,Bolo,,,,_Kentucky_Derby,2015,12,30.0
545,17.0,Mr. Z,,,,_Kentucky_Derby,2015,13,50.0
546,1.0,Ocho Ocho Ocho,,,,_Kentucky_Derby,2015,14,50.0
547,20.0,Far Right,,,,_Kentucky_Derby,2015,15,30.0
548,16.0,War Story,,,,_Kentucky_Derby,2015,16,50.0
549,4.0,Tencendur,,,,_Kentucky_Derby,2015,17,30.0
550,19.0,Upstart,,,,_Kentucky_Derby,2015,18,15.0
551,12.0,International Star,,,,_Kentucky_Derby,2015,0,0.0
552,7.0,El Kabeir,,,,_Kentucky_Derby,2015,0,0.0
553,11.0,Stanford,,,,_Kentucky_Derby,2015,0,0.0
554,8.0,Jazil,,,,_Belmont_Stakes,2006,1,6.0
555,9.0,Bluegrass Cat,,,,_Belmont_Stakes,2006,2,5.0
556,2.0,Sunriver,,,,_Belmont_Stakes,2006,3,6.0
557,11.0,Steppenwolfer,,,,_Belmont_Stakes,2006,4,5.0
558,6.0,Oh So Awesome,,,,_Belmont_Stakes,2006,5,12.0
559,3.0,Hemingway's Key,,,,_Belmont_Stakes,2006,6,15.0
560,1.0,Platinum Couple,,,,_Belmont_Stakes,2006,7,38.0
561,4.0,Bob and John,,,,_Belmont_Stakes,2006,8,4.5
562,12.0,Sacred Light,,,,_Belmont_Stakes,2006,9,20.0
563,5.0,High Finance,,,,_Belmont_Stakes,2006,10,10.0
564,7.0,Deputy Glitters,,,,_Belmont_Stakes,2006,11,12.0
565,10.0,Double Galore,,,,_Belmont_Stakes,2006,12,15.0
566,6.0,Hard Spun,,,,_Belmont_Stakes,2007,4,2.5
567,4.0,C P West,,,,_Belmont_Stakes,2007,5,12.0
568,1.0,Imawildandcrazyguy,,,,_Belmont_Stakes,2007,6,20.0
569,5.0,Slew's Tizzy,,,,_Belmont_Stakes,2007,7,20.0
570,8.0,Anak Nakal,,,,_Belmont_Stakes,2008,0,34.0
571,9.0,Ready's Echo,,,,_Belmont_Stakes,2008,0,29.0
572,3.0,Macho Again,,,,_Belmont_Stakes,2008,5,17.0
573,7.0,Tale of Ekati,,,,_Belmont_Stakes,2008,6,14.0
574,2.0,Guadalcanal,,,,_Belmont_Stakes,2008,7,25.0
575,10.0,Icabad Crane,,,,_Belmont_Stakes,2008,8,17.0
576,1.0,Big Brown,,,,_Belmont_Stakes,2008,9,0.25
577,5.0,Casino Drive[6],,,,_Belmont_Stakes,2008,0,3.5
578,6.0,Charitable Man,,,,_Belmont_Stakes,2009,4,17.0
579,5.0,Luv Gov,,,,_Belmont_Stakes,2009,5,28.0
580,8.0,Game On Dude,,,,_Belmont_Stakes,2010,4,10.0
581,10.0,Stay Put,,,,_Belmont_Stakes,2010,5,20.0
582,12.0,Interactif,,,,_Belmont_Stakes,2010,6,12.0
583,9.0,Stately Victor,,,,_Belmont_Stakes,2010,7,15.0
584,6.0,Ice Box,,,,_Belmont_Stakes,2010,8,3.0
585,4.0,Make Music For Me,,,,_Belmont_Stakes,2010,9,10.0
586,1.0,Dave in Dixie,,,,_Belmont_Stakes,2010,10,20.0
587,2.0,Spangled Star,,,,_Belmont_Stakes,2010,11,30.0
588,3.0,Uptowncharlybrown,,,,_Belmont_Stakes,2010,0,10.0
589,6.0,Nehro,,,,_Belmont_Stakes,2011,4,4.0
590,12.0,Shackleford,,,,_Belmont_Stakes,2011,5,4.5
591,9.0,Animal Kingdom,,,,_Belmont_Stakes,2011,6,2.0
592,10.0,Mucho Macho Man,,,,_Belmont_Stakes,2011,7,10.0
593,4.0,Santiva,,,,_Belmont_Stakes,2011,8,15.0
594,7.0,Monzon,,,,_Belmont_Stakes,2011,9,30.0
595,1.0,Master of Hounds,,,,_Belmont_Stakes,2011,10,10.0
596,8.0,Prime Cut,,,,_Belmont_Stakes,2011,11,15.0
597,11.0,Isn't He Perfect,,,,_Belmont_Stakes,2011,12,30.0
598,1.0,Street Life,,,,_Belmont_Stakes,2012,4,12.0
599,7.0,Five Sixteen,,,,_Belmont_Stakes,2012,5,50.0
600,2.0,Unstoppable U,,,,_Belmont_Stakes,2012,6,30.0
601,5.0,Dullahan,,,,_Belmont_Stakes,2012,7,5.0
602,11.0,My Adonis,,,,_Belmont_Stakes,2012,8,20.0
603,6.0,Ravelo's Boy,,,,_Belmont_Stakes,2012,9,50.0
604,10.0,Optimizer,,,,_Belmont_Stakes,2012,10,20.0
605,8.0,Guyana Star Dweej,,,,_Belmont_Stakes,2012,0,50.0
606,11.0,I'll Have Another,,,,_Belmont_Stakes,2012,0,0.8
607,6.0,Incognito,,,,_Belmont_Stakes,2013,4,20.0
608,9.0,Revolutionary,,,,_Belmont_Stakes,2013,5,4.5
609,13.0,Unlimited Budget,,,,_Belmont_Stakes,2013,6,8.0
610,3.0,Overanalyze,,,,_Belmont_Stakes,2013,7,12.0
611,11.0,Vyjack,,,,_Belmont_Stakes,2013,8,20.0
612,14.0,Golden Soul,,,,_Belmont_Stakes,2013,9,10.0
613,10.0,Will Take Charge,,,,_Belmont_Stakes,2013,10,20.0
614,4.0,Giant Finish,,,,_Belmont_Stakes,2013,11,30.0
615,8.0,Midnight Taboo,,,,_Belmont_Stakes,2013,12,30.0
616,2.0,Freedom Child,,,,_Belmont_Stakes,2013,13,8.0
617,1.0,Frac Daddy,,,,_Belmont_Stakes,2013,14,30.0
618,2.0,California Chrome,,,,_Belmont_Stakes,2014,4,0.6
619,9.0,Wicked Strong,,,,_Belmont_Stakes,2014,4,6.0
620,7.0,Samraat,,,,_Belmont_Stakes,2014,6,20.0
621,10.0,General a Rod,,,,_Belmont_Stakes,2014,7,20.0
622,3.0,Matterhorn,,,,_Belmont_Stakes,2014,8,30.0
623,4.0,Commanding Curve,,,,_Belmont_Stakes,2014,9,15.0
624,6.0,Matuszak,,,,_Belmont_Stakes,2014,0,30.0
625,5.0,Ride On Curlin,,,,_Belmont_Stakes,2014,0,12.0
626,1.0,Mubtaahij,,,,_Belmont_Stakes,2015,4,10.0
627,4.0,Frammento,,,,_Belmont_Stakes,2015,5,30.0
628,3.0,Madefromlucky,,,,_Belmont_Stakes,2015,6,12.0
629,2.0,Tale of Verve,,,,_Belmont_Stakes,2015,7,15.0
630,8.0,Materiality,,,,_Belmont_Stakes,2015,8,6.0
