,Finish,Post,Horse,Track,Year,Odds
101,2,8,Street Sense,_Preakness_Stakes,2007,1.3
102,3,7,Hard Spun,_Preakness_Stakes,2007,4.1
103,4,9,C P West,_Preakness_Stakes,2007,24.9
104,5,3,Circular Quay,_Preakness_Stakes,2007,6.0
105,6,5,King of the Roxy,_Preakness_Stakes,2007,14.2
106,7,1,Mint Slewlep,_Preakness_Stakes,2007,40.1
107,8,2,Xchanger,_Preakness_Stakes,2007,23.0
108,9,6,Flying First Class,_Preakness_Stakes,2007,16.6
109,1,7,Big Brown,_Preakness_Stakes,2008,0.2
110,2,1,Macho Again,_Preakness_Stakes,2008,40.0
111,3,3,Icabad Crane,_Preakness_Stakes,2008,22.0
112,4,6,Racecar Rhapsody,_Preakness_Stakes,2008,25.0
113,5,9,Stevil,_Preakness_Stakes,2008,41.0
114,6,8,Kentucky Bear,_Preakness_Stakes,2008,14.0
115,7,13,Hey Byrn,_Preakness_Stakes,2008,34.0
116,8,11,Giant Moon,_Preakness_Stakes,2008,37.0
117,9,2,Tres Borrachos,_Preakness_Stakes,2008,43.0
118,10,4,Yankee Bravo,_Preakness_Stakes,2008,24.0
119,11,12,Gayego,_Preakness_Stakes,2008,9.0
120,12,10,Riley Tucker,_Preakness_Stakes,2008,36.0
121,0,5,Behindatthebar,_Preakness_Stakes,2008,0.0
122,1,13,Rachel Alexandra,_Preakness_Stakes,2009,1.6
123,2,2,Mine That Bird,_Preakness_Stakes,2009,6.0
124,3,3,Musket Man,_Preakness_Stakes,2009,8.0
125,4,10,Flying Private,_Preakness_Stakes,2009,50.0
126,5,1,Big Drama,_Preakness_Stakes,2009,10.0
127,6,7,Papa Clem,_Preakness_Stakes,2009,12.0
128,7,6,Terrain,_Preakness_Stakes,2009,30.0
129,8,4,Luv Gov,_Preakness_Stakes,2009,50.0
130,9,8,General Quarters,_Preakness_Stakes,2009,20.0
131,10,5,Friesan Fire,_Preakness_Stakes,2009,6.0
132,11,9,Pioneerof the Nile,_Preakness_Stakes,2009,5.0
133,12,12,Tone It Down,_Preakness_Stakes,2009,50.0
134,13,11,Take the Points,_Preakness_Stakes,2009,30.0
135,1,7,Lookin At Lucky,_Preakness_Stakes,2010,3.0
136,2,11,First Dude,_Preakness_Stakes,2010,20.0
137,3,6,Jackson Bend,_Preakness_Stakes,2010,12.0
138,4,5,Yawanna Twist,_Preakness_Stakes,2010,30.0
139,5,12,Dublin,_Preakness_Stakes,2010,10.0
140,6,10,Paddy O'Prado,_Preakness_Stakes,2010,4.5
141,7,9,Caracortado,_Preakness_Stakes,2010,10.0
142,8,8,Super Saver,_Preakness_Stakes,2010,2.5
143,9,2,Schoolyard Dreams,_Preakness_Stakes,2010,15.0
144,10,1,Aikenite,_Preakness_Stakes,2010,20.0
