,Finish,Post,Horse,Track,Year,Odds
444,19,6,Comma To The Top,_Kentucky_Derby,2011,30.0
445,1,19,I'll Have Another,_Kentucky_Derby,2012,12.0
446,2,6,Bodemeister,_Kentucky_Derby,2012,4.0
447,3,5,Dullahan,_Kentucky_Derby,2012,8.0
448,4,13,Went The Day Well,_Kentucky_Derby,2012,20.0
449,5,8,Creative Cause,_Kentucky_Derby,2012,12.0
450,6,20,Liaison,_Kentucky_Derby,2012,50.0
451,7,4,Union Rags,_Kentucky_Derby,2012,4.5
452,8,7,Rousing Sermon,_Kentucky_Derby,2012,50.0
453,9,14,Hansen,_Kentucky_Derby,2012,10.0
454,10,10,Daddy Nose Best,_Kentucky_Derby,2012,15.0
455,11,2,Optimizer,_Kentucky_Derby,2012,50.0
456,12,11,Alpha,_Kentucky_Derby,2012,15.0
457,13,16,El Padrino,_Kentucky_Derby,2012,20.0
458,14,17,Done Talking,_Kentucky_Derby,2012,50.0
459,15,18,Sabercat,_Kentucky_Derby,2012,30.0
460,16,15,Gemologist,_Kentucky_Derby,2012,6.0
461,17,9,Trinniberg,_Kentucky_Derby,2012,50.0
462,18,12,Prospective,_Kentucky_Derby,2012,30.0
463,19,3,Take Charge Indy,_Kentucky_Derby,2012,15.0
464,0,1,Daddy Long Legs,_Kentucky_Derby,2012,30.0
465,1,16,Orb,_Kentucky_Derby,2013,3.5
466,2,4,Golden Soul,_Kentucky_Derby,2013,50.0
467,3,3,Revolutionary,_Kentucky_Derby,2013,10.0
468,4,5,Normandy Invasion,_Kentucky_Derby,2013,12.0
469,5,6,Mylute,_Kentucky_Derby,2013,15.0
470,6,2,Oxbow,_Kentucky_Derby,2013,30.0
471,7,11,Lines of Battle,_Kentucky_Derby,2013,30.0
472,8,17,Will Take Charge,_Kentucky_Derby,2013,20.0
473,9,15,Charming Kitten,_Kentucky_Derby,2013,20.0
474,10,7,Giant Finish,_Kentucky_Derby,2013,50.0
475,11,9,Overanalyze,_Kentucky_Derby,2013,15.0
476,12,10,Palace Malice,_Kentucky_Derby,2013,20.0
477,13,19,Java's War,_Kentucky_Derby,2013,15.0
478,14,14,Verrazano,_Kentucky_Derby,2013,4.0
479,15,12,Itsmyluckyday,_Kentucky_Derby,2013,15.0
480,16,18,Frac Daddy,_Kentucky_Derby,2013,50.0
481,17,8,Goldencents,_Kentucky_Derby,2013,5.0
482,18,20,Vyjack,_Kentucky_Derby,2013,50.0
483,19,13,Falling Sky,_Kentucky_Derby,2013,50.0
484,0,1,Black Onyx,_Kentucky_Derby,2013,50.0
485,0,0,Fear the Kitten,_Kentucky_Derby,2013,0.0
486,1,5,California Chrome,_Kentucky_Derby,2014,2.5
487,2,17,Commanding Curve,_Kentucky_Derby,2014,50.0
488,3,4,Danza,_Kentucky_Derby,2014,10.0
489,4,20,Wicked Strong,_Kentucky_Derby,2014,8.0
490,5,6,Samraat,_Kentucky_Derby,2014,15.0
491,6,12,Dance With Fate,_Kentucky_Derby,2014,20.0
492,7,19,Ride On Curlin,_Kentucky_Derby,2014,15.0
493,8,14,Medal Count,_Kentucky_Derby,2014,20.0
494,9,13,Chitu,_Kentucky_Derby,2014,20.0
495,10,7,We Miss Artie,_Kentucky_Derby,2014,50.0
496,11,8,General A Rod,_Kentucky_Derby,2014,15.0
497,12,16,Intense Holiday,_Kentucky_Derby,2014,12.0
498,13,18,Candy Boy,_Kentucky_Derby,2014,20.0
499,14,3,Uncle Sigh,_Kentucky_Derby,2014,30.0
500,15,15,Tapiture,_Kentucky_Derby,2014,15.0
501,16,2,Harry's Holiday,_Kentucky_Derby,2014,50.0
502,17,9,Vinceremos,_Kentucky_Derby,2014,30.0
503,18,10,Wildcat Red,_Kentucky_Derby,2014,15.0
504,19,1,Vicar's In Trouble,_Kentucky_Derby,2014,30.0
505,0,11,Hoppertunity,_Kentucky_Derby,2014,0.0
506,0,0,Pablo del Monte,_Kentucky_Derby,2014,0.0
507,1,18,American Pharoah,_Kentucky_Derby,2015,2.5
508,2,10,Firing Line,_Kentucky_Derby,2015,12.0
509,3,8,Dortmund,_Kentucky_Derby,2015,3.0
510,4,15,Frosted,_Kentucky_Derby,2015,15.0
511,5,5,Danzig Moon,_Kentucky_Derby,2015,30.0
512,6,3,Materiality,_Kentucky_Derby,2015,12.0
513,7,14,Keen Ice,_Kentucky_Derby,2015,50.0
514,8,6,Mubtaahij,_Kentucky_Derby,2015,20.0
515,9,13,Itsaknockout,_Kentucky_Derby,2015,30.0
516,10,2,Carpe Diem,_Kentucky_Derby,2015,8.0
517,11,21,Frammento,_Kentucky_Derby,2015,50.0
518,12,9,Bolo,_Kentucky_Derby,2015,30.0
519,13,17,Mr. Z,_Kentucky_Derby,2015,50.0
520,14,1,Ocho Ocho Ocho,_Kentucky_Derby,2015,50.0
521,15,20,Far Right,_Kentucky_Derby,2015,30.0
522,16,16,War Story,_Kentucky_Derby,2015,50.0
523,17,4,Tencendur,_Kentucky_Derby,2015,30.0
524,18,19,Upstart,_Kentucky_Derby,2015,15.0
525,0,12,International Star,_Kentucky_Derby,2015,0.0
526,0,7,El Kabeir,_Kentucky_Derby,2015,0.0
527,0,11,Stanford,_Kentucky_Derby,2015,0.0
528,1,8,Jazil,_Belmont_Stakes,2006,6.0
529,2,9,Bluegrass Cat,_Belmont_Stakes,2006,5.0
530,3,2,Sunriver,_Belmont_Stakes,2006,6.0
531,4,11,Steppenwolfer,_Belmont_Stakes,2006,5.0
532,5,6,Oh So Awesome,_Belmont_Stakes,2006,12.0
533,6,3,Hemingway's Key,_Belmont_Stakes,2006,15.0
534,7,1,Platinum Couple,_Belmont_Stakes,2006,38.0
535,8,4,Bob and John,_Belmont_Stakes,2006,4.5
536,9,12,Sacred Light,_Belmont_Stakes,2006,20.0
537,10,5,High Finance,_Belmont_Stakes,2006,10.0
538,11,7,Deputy Glitters,_Belmont_Stakes,2006,12.0
539,12,10,Double Galore,_Belmont_Stakes,2006,15.0
540,1,7,Rags to Riches,_Belmont_Stakes,2007,3.0
541,2,3,Curlin,_Belmont_Stakes,2007,1.2
542,3,2,Tiago,_Belmont_Stakes,2007,10.0
543,4,6,Hard Spun,_Belmont_Stakes,2007,2.5
544,5,4,C P West,_Belmont_Stakes,2007,12.0
545,6,1,Imawildandcrazyguy,_Belmont_Stakes,2007,20.0
546,7,5,Slew's Tizzy,_Belmont_Stakes,2007,20.0
547,1,6,Da'Tara,_Belmont_Stakes,2008,38.0
548,2,4,Denis of Cork,_Belmont_Stakes,2008,7.0
549,0,8,Anak Nakal,_Belmont_Stakes,2008,34.0
550,0,9,Ready's Echo,_Belmont_Stakes,2008,29.0
551,5,3,Macho Again,_Belmont_Stakes,2008,17.0
552,6,7,Tale of Ekati,_Belmont_Stakes,2008,14.0
553,7,2,Guadalcanal,_Belmont_Stakes,2008,25.0
554,8,10,Icabad Crane,_Belmont_Stakes,2008,17.0
555,9,1,Big Brown,_Belmont_Stakes,2008,0.25
556,0,5,Casino Drive[6],_Belmont_Stakes,2008,3.5
557,1,4,Summer Bird,_Belmont_Stakes,2009,12.0
558,2,2,Dunkirk,_Belmont_Stakes,2009,4.5
559,3,7,Mine That Bird,_Belmont_Stakes,2009,22.0
560,4,6,Charitable Man,_Belmont_Stakes,2009,17.0
561,5,5,Luv Gov,_Belmont_Stakes,2009,28.0
562,1,7,Drosselmeyer,_Belmont_Stakes,2010,12.0
563,2,5,Fly Down,_Belmont_Stakes,2010,4.5
564,3,11,First Dude,_Belmont_Stakes,2010,3.5
565,4,8,Game On Dude,_Belmont_Stakes,2010,10.0
566,5,10,Stay Put,_Belmont_Stakes,2010,20.0
567,6,12,Interactif,_Belmont_Stakes,2010,12.0
568,7,9,Stately Victor,_Belmont_Stakes,2010,15.0
569,8,6,Ice Box,_Belmont_Stakes,2010,3.0
570,9,4,Make Music For Me,_Belmont_Stakes,2010,10.0
571,10,1,Dave in Dixie,_Belmont_Stakes,2010,20.0
572,11,2,Spangled Star,_Belmont_Stakes,2010,30.0
573,0,3,Uptowncharlybrown,_Belmont_Stakes,2010,10.0
574,1,3,Ruler on Ice,_Belmont_Stakes,2011,20.0
575,2,2,Stay Thirsty,_Belmont_Stakes,2011,20.0
576,3,5,Brilliant Speed,_Belmont_Stakes,2011,15.0
577,4,6,Nehro,_Belmont_Stakes,2011,4.0
578,5,12,Shackleford,_Belmont_Stakes,2011,4.5
579,6,9,Animal Kingdom,_Belmont_Stakes,2011,2.0
580,7,10,Mucho Macho Man,_Belmont_Stakes,2011,10.0
581,8,4,Santiva,_Belmont_Stakes,2011,15.0
582,9,7,Monzon,_Belmont_Stakes,2011,30.0
583,10,1,Master of Hounds,_Belmont_Stakes,2011,10.0
584,11,8,Prime Cut,_Belmont_Stakes,2011,15.0
585,12,11,Isn't He Perfect,_Belmont_Stakes,2011,30.0
586,1,3,Union Rags,_Belmont_Stakes,2012,6.0
587,2,9,Paynter,_Belmont_Stakes,2012,8.0
588,3,4,Atigun,_Belmont_Stakes,2012,30.0
589,4,1,Street Life,_Belmont_Stakes,2012,12.0
590,5,7,Five Sixteen,_Belmont_Stakes,2012,50.0
591,6,2,Unstoppable U,_Belmont_Stakes,2012,30.0
592,7,5,Dullahan,_Belmont_Stakes,2012,5.0
593,8,11,My Adonis,_Belmont_Stakes,2012,20.0
594,9,6,Ravelo's Boy,_Belmont_Stakes,2012,50.0
595,10,10,Optimizer,_Belmont_Stakes,2012,20.0
596,0,8,Guyana Star Dweej,_Belmont_Stakes,2012,50.0
597,0,11,I'll Have Another,_Belmont_Stakes,2012,0.8
598,1,12,Palace Malice,_Belmont_Stakes,2013,15.0
599,2,7,Oxbow,_Belmont_Stakes,2013,5.0
600,3,5,Orb,_Belmont_Stakes,2013,3.0
601,4,6,Incognito,_Belmont_Stakes,2013,20.0
602,5,9,Revolutionary,_Belmont_Stakes,2013,4.5
603,6,13,Unlimited Budget,_Belmont_Stakes,2013,8.0
604,7,3,Overanalyze,_Belmont_Stakes,2013,12.0
605,8,11,Vyjack,_Belmont_Stakes,2013,20.0
606,9,14,Golden Soul,_Belmont_Stakes,2013,10.0
607,10,10,Will Take Charge,_Belmont_Stakes,2013,20.0
608,11,4,Giant Finish,_Belmont_Stakes,2013,30.0
609,12,8,Midnight Taboo,_Belmont_Stakes,2013,30.0
610,13,2,Freedom Child,_Belmont_Stakes,2013,8.0
611,14,1,Frac Daddy,_Belmont_Stakes,2013,30.0
612,1,11,Tonalist,_Belmont_Stakes,2014,8.0
613,2,8,Commissioner,_Belmont_Stakes,2014,20.0
614,3,1,Medal Count,_Belmont_Stakes,2014,20.0
615,4,2,California Chrome,_Belmont_Stakes,2014,0.6
616,4,9,Wicked Strong,_Belmont_Stakes,2014,6.0
617,6,7,Samraat,_Belmont_Stakes,2014,20.0
618,7,10,General a Rod,_Belmont_Stakes,2014,20.0
619,8,3,Matterhorn,_Belmont_Stakes,2014,30.0
620,9,4,Commanding Curve,_Belmont_Stakes,2014,15.0
621,0,6,Matuszak,_Belmont_Stakes,2014,30.0
622,0,5,Ride On Curlin,_Belmont_Stakes,2014,12.0
623,1,5,American Pharoah,_Belmont_Stakes,2015,0.6
624,2,6,Frosted,_Belmont_Stakes,2015,5.0
625,3,7,Keen Ice,_Belmont_Stakes,2015,20.0
626,4,1,Mubtaahij,_Belmont_Stakes,2015,10.0
627,5,4,Frammento,_Belmont_Stakes,2015,30.0
628,6,3,Madefromlucky,_Belmont_Stakes,2015,12.0
629,7,2,Tale of Verve,_Belmont_Stakes,2015,15.0
630,8,8,Materiality,_Belmont_Stakes,2015,6.0
