,Finish,Post,Horse,Track,Year,Odds,Odds2
366,6th,16,Circular Quay,_Kentucky_Derby,2007,11.4,11.40
367,7th,15,Tiago,_Kentucky_Derby,2007,14.8,14.80
368,8th,18,Any Given Saturday,_Kentucky_Derby,2007,13.6,13.60
369,9th,13,Sam P.,_Kentucky_Derby,2007,43.7,43.70
370,10th,12,Nobiz Like Shobiz,_Kentucky_Derby,2007,10.4,10.40
371,11th,19,Dominican,_Kentucky_Derby,2007,24.9,24.90
372,12th,3,Zanjero,_Kentucky_Derby,2007,36,36.00
373,13th,20,Great Hunter,_Kentucky_Derby,2007,25.3,25.30
374,14th,9,Liquidity,_Kentucky_Derby,2007,40,40.00
375,15th,11,Bwana Bull,_Kentucky_Derby,2007,50.3,50.30
376,16th,4,Storm in May,_Kentucky_Derby,2007,27.2,27.20
377,17th,10,Teuflesberg,_Kentucky_Derby,2007,51.9,51.90
378,18th,14,Scat Daddy,_Kentucky_Derby,2007,7.2,7.20
379,19th,17,Stormello,_Kentucky_Derby,2007,44.8,44.80
380,20th,6,Cowtown Cat,_Kentucky_Derby,2007,19.8,19.80
381,15,1,Cool Coal Man,_Kentucky_Derby,2008,6998263000000000000‰ªÊ44-1,44.00
382,4,2,Tale of Ekati,_Kentucky_Derby,2008,6998270000000000000‰ªÊ37-1,37.00
383,7,3,Anak Nakal,_Kentucky_Derby,2008,6998164000000000000‰ªÊ53-1,53.00
384,13,4,Court Vision,_Kentucky_Derby,2008,6998625000000000000‰ªÊ17-1,17.00
385,2,5,Eight Belles,_Kentucky_Derby,2008,6998833000000000000‰ªÊ13-1,13.00
386,10,6,Z Fortune,_Kentucky_Derby,2008,6998556000000099999‰ªÊ19-1,19.00
387,18,7,Big Truck,_Kentucky_Derby,2008,6998500000000000000‰ªÊ28-1,28.00
388,12,8,Visionaire,_Kentucky_Derby,2008,6998417000000000000‰ªÊ25-1,25.00
389,8,9,Pyro,_Kentucky_Derby,2008,6999200000000000000‰ªÊ5-1,5.00
390,6,10,Colonel John,_Kentucky_Derby,2008,6999222200000000000‰ªÊ9-2,4.50
391,14,11,Z Humor,_Kentucky_Derby,2008,6998154000000000000‰ªÊ63-1,63.00
392,11,12,Smooth Air,_Kentucky_Derby,2008,6998250000000000000‰ªÊ42-1,42.00
393,16,13,Bob Black Jack,_Kentucky_Derby,2008,6998357000000000000‰ªÊ29-1,29.00
394,20,14,Monba,_Kentucky_Derby,2008,6998333000000000000‰ªÊ31-1,31.00
395,19,15,Adriano,_Kentucky_Derby,2008,6998370000000000000‰ªÊ28-1,28.00
396,3,16,Denis of Cork,_Kentucky_Derby,2008,6998385000000000000‰ªÊ27-1,27.00
397,9,17,Cowboy Cal,_Kentucky_Derby,2008,6998263000000000000‰ªÊ39-1,39.00
398,5,18,Recapturetheglory,_Kentucky_Derby,2008,6998213000000000000‰ªÊ49-1,49.00
399,17,19,Gayego,_Kentucky_Derby,2008,6998556000000099999‰ªÊ18-1,18.00
400,1,20,Big Brown,_Kentucky_Derby,2008,6999400000000000000‰ªÊ2-1,2.00
401,1,8,Mine That Bird,_Kentucky_Derby,2009,50.6,50.60
402,2,16,Pioneerof the Nile,_Kentucky_Derby,2009,6.3,6.30
403,3,2,Musket Man,_Kentucky_Derby,2009,19,19.00
404,4,7,Papa Clem,_Kentucky_Derby,2009,12.2,12.20
405,5,11,Chocolate Candy,_Kentucky_Derby,2009,10,10.00
406,1,4,Super Saver,_Kentucky_Derby,2010,15,15.00
407,2,2,Ice Box,_Kentucky_Derby,2010,10,10.00
408,3,10,Paddy O'Prado,_Kentucky_Derby,2010,20,20.00
409,4,9,Make Music for Me,_Kentucky_Derby,2010,50,50.00
410,5,3,Noble's Promise,_Kentucky_Derby,2010,12,12.00
411,6,1,Lookin at Lucky,_Kentucky_Derby,2010,3,3.00
412,7,17,Dublin,_Kentucky_Derby,2010,12,12.00
413,8,6,Stately Victor,_Kentucky_Derby,2010,30,30.00
414,9,14,Mission Impazible,_Kentucky_Derby,2010,20,20.00
415,10,11,Devil May Care,_Kentucky_Derby,2010,10,10.00
416,11,7,American Lion,_Kentucky_Derby,2010,30,30.00
417,12,13,Jackson Bend,_Kentucky_Derby,2010,15,15.00
418,13,15,Discreetly Mine,_Kentucky_Derby,2010,30,30.00
419,14,8,Dean's Kitten,_Kentucky_Derby,2010,50,50.00
420,15,12,Conveyance,_Kentucky_Derby,2010,12,12.00
421,16,19,Homeboykris,_Kentucky_Derby,2010,50,50.00
422,17,20,Sidney's Candy,_Kentucky_Derby,2010,5,5.00
423,18,5,Line of David,_Kentucky_Derby,2010,30,30.00
424,19,16,Awesome Act,_Kentucky_Derby,2010,10,10.00
425,20,18,Backtalk,_Kentucky_Derby,2010,50,50.00
426,1,16,Animal Kingdom,_Kentucky_Derby,2011,30,30.00
427,2,19,Nehro,_Kentucky_Derby,2011,6,6.00
428,3,13,Mucho Macho Man,_Kentucky_Derby,2011,12,12.00
429,4,14,Shackleford,_Kentucky_Derby,2011,12,12.00
430,5,11,Master of Hounds,_Kentucky_Derby,2011,30,30.00
431,6,12,Santiva,_Kentucky_Derby,2011,30,30.00
432,7,2,Brilliant Speed,_Kentucky_Derby,2011,30,30.00
433,8,8,Dialed In,_Kentucky_Derby,2011,4,4.00
434,9,7,Pants On Fire,_Kentucky_Derby,2011,20,20.00
435,10,3,Twice the Appeal,_Kentucky_Derby,2011,20,20.00
436,11,17,Soldat,_Kentucky_Derby,2011,12,12.00
437,12,4,Stay Thirsty,_Kentucky_Derby,2011,20,20.00
438,13,9,Derby Kitten,_Kentucky_Derby,2011,30,30.00
439,14,5,Decisive Moment,_Kentucky_Derby,2011,30,30.00
440,15,1,Archarcharch,_Kentucky_Derby,2011,10,10.00
441,16,15,Midnight Interlude,_Kentucky_Derby,2011,10,10.00
442,17,10,Twinspired,_Kentucky_Derby,2011,30,30.00
443,18,20,Watch Me Go,_Kentucky_Derby,2011,50,50.00
444,19,6,Comma To The Top,_Kentucky_Derby,2011,30,30.00
446,1,19,I'll Have Another,_Kentucky_Derby,2012,1-Dec,12.00
447,2,6,Bodemeister,_Kentucky_Derby,2012,1-Apr,4.00
448,3,5,Dullahan,_Kentucky_Derby,2012,1-Aug,8.00
449,4,13,Went The Day Well,_Kentucky_Derby,2012,20-1,20.00
450,5,8,Creative Cause,_Kentucky_Derby,2012,1-Dec,12.00
451,6,20,Liaison,_Kentucky_Derby,2012,50-1,50.00
452,7,4,Union Rags,_Kentucky_Derby,2012,2-Sep,4.50
453,8,7,Rousing Sermon,_Kentucky_Derby,2012,50-1,50.00
454,9,14,Hansen,_Kentucky_Derby,2012,1-Oct,10.00
455,10,10,Daddy Nose Best,_Kentucky_Derby,2012,15-1,15.00
456,11,2,Optimizer,_Kentucky_Derby,2012,50-1,50.00
457,12,11,Alpha,_Kentucky_Derby,2012,15-1,15.00
458,13,16,El Padrino,_Kentucky_Derby,2012,20-1,20.00
459,14,17,Done Talking,_Kentucky_Derby,2012,50-1,50.00
460,15,18,Sabercat,_Kentucky_Derby,2012,30-1,30.00
461,16,15,Gemologist,_Kentucky_Derby,2012,1-Jun,6.00
462,17,9,Trinniberg,_Kentucky_Derby,2012,50-1,50.00
463,18,12,Prospective,_Kentucky_Derby,2012,30-1,30.00
464,19,3,Take Charge Indy,_Kentucky_Derby,2012,15-1,15.00
465,DNF,1,Daddy Long Legs,_Kentucky_Derby,2012,30-1,30.00
466,1,16,Orb,_Kentucky_Derby,2013,2-Jul,3.50
467,2,4,Golden Soul,_Kentucky_Derby,2013,50-1,50.00
468,3,3,Revolutionary,_Kentucky_Derby,2013,1-Oct,10.00
469,4,5,Normandy Invasion,_Kentucky_Derby,2013,1-Dec,12.00
470,5,6,Mylute,_Kentucky_Derby,2013,15-1,15.00
471,6,2,Oxbow,_Kentucky_Derby,2013,30-1,30.00
472,7,11,Lines of Battle,_Kentucky_Derby,2013,30-1,30.00
473,8,17,Will Take Charge,_Kentucky_Derby,2013,20-1,20.00
474,9,15,Charming Kitten,_Kentucky_Derby,2013,20-1,20.00
475,10,7,Giant Finish,_Kentucky_Derby,2013,50-1,50.00
476,11,9,Overanalyze,_Kentucky_Derby,2013,15-1,15.00
477,12,10,Palace Malice,_Kentucky_Derby,2013,20-1,20.00
478,13,19,Java's War,_Kentucky_Derby,2013,15-1,15.00
479,14,14,Verrazano,_Kentucky_Derby,2013,1-Apr,4.00
480,15,12,Itsmyluckyday,_Kentucky_Derby,2013,15-1,15.00
481,16,18,Frac Daddy,_Kentucky_Derby,2013,50-1,50.00
482,17,8,Goldencents,_Kentucky_Derby,2013,1-May,5.00
483,18,20,Vyjack,_Kentucky_Derby,2013,50-1,50.00
484,19,13,Falling Sky,_Kentucky_Derby,2013,50-1,50.00
485,Scratched,1,Black Onyx,_Kentucky_Derby,2013,50-1,50.00
486,DNR,Did not start,Fear the Kitten,_Kentucky_Derby,2013,DNR,0.00
487,1,5,California Chrome,_Kentucky_Derby,2014,2-May,2.50
488,2,17,Commanding Curve,_Kentucky_Derby,2014,50-1,50.00
489,3,4,Danza,_Kentucky_Derby,2014,1-Oct,10.00
490,4,20,Wicked Strong,_Kentucky_Derby,2014,1-Aug,8.00
491,5,6,Samraat,_Kentucky_Derby,2014,15-1,15.00
492,6,12,Dance With Fate,_Kentucky_Derby,2014,20-1,20.00
493,7,19,Ride On Curlin,_Kentucky_Derby,2014,15-1,15.00
494,8,14,Medal Count,_Kentucky_Derby,2014,20-1,20.00
495,9,13,Chitu,_Kentucky_Derby,2014,20-1,20.00
496,10,7,We Miss Artie,_Kentucky_Derby,2014,50-1,50.00
497,11,8,General A Rod,_Kentucky_Derby,2014,15-1,15.00
498,12,16,Intense Holiday,_Kentucky_Derby,2014,1-Dec,12.00
499,13,18,Candy Boy,_Kentucky_Derby,2014,20-1,20.00
500,14,3,Uncle Sigh,_Kentucky_Derby,2014,30-1,30.00
501,15,15,Tapiture,_Kentucky_Derby,2014,15-1,15.00
502,16,2,Harry's Holiday,_Kentucky_Derby,2014,50-1,50.00
503,17,9,Vinceremos,_Kentucky_Derby,2014,30-1,30.00
504,18,10,Wildcat Red,_Kentucky_Derby,2014,15-1,15.00
505,19,1,Vicar's In Trouble,_Kentucky_Derby,2014,30-1,30.00
506,7001200000000000000‰ªÊscratched[16],11,Hoppertunity,_Kentucky_Derby,2014,SCR,0.00
507,7001210000000000000‰ªÊscratched,7001210000000000000‰ªÊAlso eligible,Pablo del Monte,_Kentucky_Derby,2014,SCR,0.00
508,1,18,American Pharoah,_Kentucky_Derby,2015,2-May,2.50
509,2,10,Firing Line,_Kentucky_Derby,2015,1-Dec,12.00
510,3,8,Dortmund,_Kentucky_Derby,2015,1-Mar,3.00
511,4,15,Frosted,_Kentucky_Derby,2015,15-1,15.00
512,5,5,Danzig Moon,_Kentucky_Derby,2015,30-1,30.00
513,6,3,Materiality,_Kentucky_Derby,2015,1-Dec,12.00
514,7,14,Keen Ice,_Kentucky_Derby,2015,50-1,50.00
515,8,6,Mubtaahij,_Kentucky_Derby,2015,20-1,20.00
516,9,13,Itsaknockout,_Kentucky_Derby,2015,30-1,30.00
517,10,2,Carpe Diem,_Kentucky_Derby,2015,1-Aug,8.00
518,11,21,Frammento,_Kentucky_Derby,2015,50-1,50.00
519,12,9,Bolo,_Kentucky_Derby,2015,30-1,30.00
520,13,17,Mr. Z,_Kentucky_Derby,2015,50-1,50.00
521,14,1,Ocho Ocho Ocho,_Kentucky_Derby,2015,50-1,50.00
522,15,20,Far Right,_Kentucky_Derby,2015,30-1,30.00
523,16,16,War Story,_Kentucky_Derby,2015,50-1,50.00
524,17,4,Tencendur,_Kentucky_Derby,2015,30-1,30.00
525,18,19,Upstart,_Kentucky_Derby,2015,15-1,15.00
526,7001210000000000000‰ªÊscratched[14],12,International Star,_Kentucky_Derby,2015,SCR,0.00
527,7001190000000000000‰ªÊscratched[13],7,El Kabeir,_Kentucky_Derby,2015,SCR,0.00
528,7001200000000000000‰ªÊscratched[12],11,Stanford,_Kentucky_Derby,2015,SCR,0.00
530,1st,,Jazil,_Belmont_Stakes,2006,6,6.00
531,2nd,,Bluegrass Cat,_Belmont_Stakes,2006,5,5.00
532,3rd,,Sunriver,_Belmont_Stakes,2006,6,6.00
533,4th,,Steppenwolfer,_Belmont_Stakes,2006,5,5.00
534,5th,,Oh So Awesome,_Belmont_Stakes,2006,12,12.00
535,6th,,Hemingway's Key,_Belmont_Stakes,2006,15,15.00
536,7th,,Platinum Couple,_Belmont_Stakes,2006,38,38.00
537,8th,,Bob and John,_Belmont_Stakes,2006,4.5,4.50
538,9th,,Sacred Light,_Belmont_Stakes,2006,20,20.00
539,10th,,High Finance,_Belmont_Stakes,2006,10,10.00
540,11th,,Deputy Glitters,_Belmont_Stakes,2006,12,12.00
541,12th,,Double Galore,_Belmont_Stakes,2006,15,15.00
542,1st,7,Rags to Riches,_Belmont_Stakes,2007,3,3.00
543,2nd,3,Curlin,_Belmont_Stakes,2007,5-Jun,1.20
544,3rd,2,Tiago,_Belmont_Stakes,2007,10,10.00
545,4th,6,Hard Spun,_Belmont_Stakes,2007,2.5,2.50
546,5th,4,C P West,_Belmont_Stakes,2007,12,12.00
547,6th,1,Imawildandcrazyguy,_Belmont_Stakes,2007,20,20.00
548,7th,5,Slew's Tizzy,_Belmont_Stakes,2007,20,20.00
549,1,6,Da'Tara,_Belmont_Stakes,2008,38-1,38.00
550,2,4,Denis of Cork,_Belmont_Stakes,2008,1-Jul,7.00
551,3 (DH),8,Anak Nakal,_Belmont_Stakes,2008,34-1,34.00
552,3 (DH),9,Ready's Echo,_Belmont_Stakes,2008,29-1,29.00
553,5,3,Macho Again,_Belmont_Stakes,2008,17-1,17.00
554,6,7,Tale of Ekati,_Belmont_Stakes,2008,14-1,14.00
555,7,2,Guadalcanal,_Belmont_Stakes,2008,25-1,25.00
556,8,10,Icabad Crane,_Belmont_Stakes,2008,17-1,17.00
557,9,1,Big Brown,_Belmont_Stakes,2008,4-Jan,0.25
558,Scratched,5,Casino Drive[6],_Belmont_Stakes,2008,2-Jul,3.50
559,Win,4,Summer Bird,_Belmont_Stakes,2009,12,12.00
560,Place,2,Dunkirk,_Belmont_Stakes,2009,4.5,4.50
561,Show,7,Mine That Bird,_Belmont_Stakes,2009,22,22.00
562,Fourth,6,Charitable Man,_Belmont_Stakes,2009,17,17.00
563,Fifth,5,Luv Gov,_Belmont_Stakes,2009,28,28.00
564,1,7,Drosselmeyer,_Belmont_Stakes,2010,1-Dec,12.00
565,2,5,Fly Down,_Belmont_Stakes,2010,2-Sep,4.50
566,3,11,First Dude,_Belmont_Stakes,2010,2-Jul,3.50
567,4,8,Game On Dude,_Belmont_Stakes,2010,1-Oct,10.00
568,5,10,Stay Put,_Belmont_Stakes,2010,20-1,20.00
569,6,12,Interactif,_Belmont_Stakes,2010,1-Dec,12.00
570,7,9,Stately Victor,_Belmont_Stakes,2010,15-1,15.00
571,8,6,Ice Box,_Belmont_Stakes,2010,1-Mar,3.00
572,9,4,Make Music For Me,_Belmont_Stakes,2010,1-Oct,10.00
573,10,1,Dave in Dixie,_Belmont_Stakes,2010,20-1,20.00
574,11,2,Spangled Star,_Belmont_Stakes,2010,30-1,30.00
575,D,3,Uptowncharlybrown,_Belmont_Stakes,2010,1-Oct,10.00
576,1,3,Ruler on Ice,_Belmont_Stakes,2011,20-1,20.00
577,2,2,Stay Thirsty,_Belmont_Stakes,2011,20-1,20.00
578,3,5,Brilliant Speed,_Belmont_Stakes,2011,15-1,15.00
579,4,6,Nehro,_Belmont_Stakes,2011,1-Apr,4.00
580,5,12,Shackleford,_Belmont_Stakes,2011,2-Sep,4.50
581,6,9,Animal Kingdom,_Belmont_Stakes,2011,1-Feb,2.00
582,7,10,Mucho Macho Man,_Belmont_Stakes,2011,1-Oct,10.00
583,8,4,Santiva,_Belmont_Stakes,2011,15-1,15.00
584,9,7,Monzon,_Belmont_Stakes,2011,30-1,30.00
585,10,1,Master of Hounds,_Belmont_Stakes,2011,1-Oct,10.00
586,11,8,Prime Cut,_Belmont_Stakes,2011,15-1,15.00
587,12,11,Isn't He Perfect,_Belmont_Stakes,2011,30-1,30.00
588,1,3,Union Rags,_Belmont_Stakes,2012,1-Jun,6.00
589,2,9,Paynter,_Belmont_Stakes,2012,1-Aug,8.00
590,3,4,Atigun,_Belmont_Stakes,2012,30-1,30.00
591,4,1,Street Life,_Belmont_Stakes,2012,1-Dec,12.00
592,5,7,Five Sixteen,_Belmont_Stakes,2012,50-1,50.00
593,6,2,Unstoppable U,_Belmont_Stakes,2012,30-1,30.00
594,7,5,Dullahan,_Belmont_Stakes,2012,1-May,5.00
595,8,11,My Adonis,_Belmont_Stakes,2012,20-1,20.00
596,9,6,Ravelo's Boy,_Belmont_Stakes,2012,50-1,50.00
597,10,10,Optimizer,_Belmont_Stakes,2012,20-1,20.00
598,DNF[2][7],8,Guyana Star Dweej,_Belmont_Stakes,2012,50-1,50.00
599,Scratched[6],11,I'll Have Another,_Belmont_Stakes,2012,5-Apr,0.80
600,1,12,Palace Malice,_Belmont_Stakes,2013,15-1,15.00
601,2,7,Oxbow,_Belmont_Stakes,2013,1-May,5.00
602,3,5,Orb,_Belmont_Stakes,2013,1-Mar,3.00
603,4,6,Incognito,_Belmont_Stakes,2013,20-1,20.00
604,5,9,Revolutionary,_Belmont_Stakes,2013,2-Sep,4.50
605,6,13,Unlimited Budget,_Belmont_Stakes,2013,1-Aug,8.00
606,7,3,Overanalyze,_Belmont_Stakes,2013,1-Dec,12.00
607,8,11,Vyjack,_Belmont_Stakes,2013,20-1,20.00
608,9,14,Golden Soul,_Belmont_Stakes,2013,1-Oct,10.00
609,10,10,Will Take Charge,_Belmont_Stakes,2013,20-1,20.00
610,11,4,Giant Finish,_Belmont_Stakes,2013,30-1,30.00
611,12,8,Midnight Taboo,_Belmont_Stakes,2013,30-1,30.00
612,13,2,Freedom Child,_Belmont_Stakes,2013,1-Aug,8.00
613,14,1,Frac Daddy,_Belmont_Stakes,2013,30-1,30.00
614,1,11,Tonalist,_Belmont_Stakes,2014,1-Aug,8.00
615,2,8,Commissioner,_Belmont_Stakes,2014,20-1,20.00
616,3,1,Medal Count,_Belmont_Stakes,2014,20-1,20.00
617,4‰ÛÊ,2,California Chrome,_Belmont_Stakes,2014,5-Mar,0.60
618,4‰ÛÊ,9,Wicked Strong,_Belmont_Stakes,2014,1-Jun,6.00
619,6,7,Samraat,_Belmont_Stakes,2014,20-1,20.00
620,7,10,General a Rod,_Belmont_Stakes,2014,20-1,20.00
621,8,3,Matterhorn,_Belmont_Stakes,2014,30-1,30.00
622,9,4,Commanding Curve,_Belmont_Stakes,2014,15-1,15.00
623,dnf‰ÛÁ,6,Matuszak,_Belmont_Stakes,2014,30-1,30.00
624,dnf‰ÛÁ,5,Ride On Curlin,_Belmont_Stakes,2014,1-Dec,12.00
625,1,5,American Pharoah,_Belmont_Stakes,2015,5-Mar,0.60
626,2,6,Frosted,_Belmont_Stakes,2015,1-May,5.00
627,3,7,Keen Ice,_Belmont_Stakes,2015,20-1,20.00
628,4,1,Mubtaahij,_Belmont_Stakes,2015,1-Oct,10.00
629,5,4,Frammento,_Belmont_Stakes,2015,30-1,30.00
630,6,3,Madefromlucky,_Belmont_Stakes,2015,1-Dec,12.00
631,7,2,Tale of Verve,_Belmont_Stakes,2015,15-1,15.00
632,8,8,Materiality,_Belmont_Stakes,2015,1-Jun,6.00
