,Finish,Post,Horse,Track,Year,Odds,Odds2
84,8th,1,Malibu Moonshine,_Preakness_Stakes,2005,24.00-1,24.00
85,9th,7,Closing Argument,_Preakness_Stakes,2005,7.20-1,7.20
86,10th,2,High Fly,_Preakness_Stakes,2005,5.10-1,5.10
87,11th,6,Hal's Image,_Preakness_Stakes,2005,23.50-1,23.50
88,12th,9,Wilko,_Preakness_Stakes,2005,13.30-1,13.30
89,13th,5,Galloping Grocer,_Preakness_Stakes,2005,27.00-1,27.00
90,14th,14,Going Wild,_Preakness_Stakes,2005,26.50-1,26.50
91,1st,8,Bernardini,_Preakness_Stakes,2006,12.90-1,12.90
92,2nd,7,Sweetnorthernsaint,_Preakness_Stakes,2006,8.40-1,8.40
93,3rd,3,Hemingway's Key,_Preakness_Stakes,2006,29.40-1,29.40
94,4th,5,Brother Derek,_Preakness_Stakes,2006,3.20-1,3.20
95,5th,4,Greeley's Galaxy,_Preakness_Stakes,2006,34.90-1,34.90
96,6th,2,Platinum Couple,_Preakness_Stakes,2006,33.20-1,33.20
97,7th,1,Like Now,_Preakness_Stakes,2006,17.40-1,17.40
98,8th,9,Diabolical,_Preakness_Stakes,2006,26.00-1,26.00
99,9th,6,Barbaro,_Preakness_Stakes,2006,0.5-1,0.50
100,1st,4,Curlin,_Preakness_Stakes,2007,3.40-1,3.40
101,2nd,8,Street Sense,_Preakness_Stakes,2007,1.30-1,1.30
102,3rd,7,Hard Spun,_Preakness_Stakes,2007,4.10-1,4.10
103,4th,9,C P West,_Preakness_Stakes,2007,24.90-1,24.90
104,5th,3,Circular Quay,_Preakness_Stakes,2007,6.00-1,6.00
105,6th,5,King of the Roxy,_Preakness_Stakes,2007,14.20-1,14.20
106,7th,1,Mint Slewlep,_Preakness_Stakes,2007,40.10-1,40.10
107,8th,2,Xchanger,_Preakness_Stakes,2007,23.00-1,23.00
108,9th,6,Flying First Class,_Preakness_Stakes,2007,16.60-1,16.60
109,1st,7,Big Brown,_Preakness_Stakes,2008,1.0-5,0.20
110,2nd,1,Macho Again,_Preakness_Stakes,2008,40-1,40.00
111,3rd,3,Icabad Crane,_Preakness_Stakes,2008,22-1,22.00
112,4th,6,Racecar Rhapsody,_Preakness_Stakes,2008,25-1,25.00
113,5th,9,Stevil,_Preakness_Stakes,2008,41-1,41.00
114,6th,8,Kentucky Bear,_Preakness_Stakes,2008,14-1,14.00
115,7th,13,Hey Byrn,_Preakness_Stakes,2008,34-1,34.00
116,8th,11,Giant Moon,_Preakness_Stakes,2008,37-1,37.00
117,9th,2,Tres Borrachos,_Preakness_Stakes,2008,43-1,43.00
118,10th,4,Yankee Bravo,_Preakness_Stakes,2008,24-1,24.00
119,11th,12,Gayego,_Preakness_Stakes,2008,1-Sep,9.00
120,12th,10,Riley Tucker,_Preakness_Stakes,2008,36-1,36.00
121,Scr,5,Behindatthebar,_Preakness_Stakes,2008,Scr,0.00
122,1st,13,Rachel Alexandra,_Preakness_Stakes,2009,5-Aug,1.60
123,2nd,2,Mine That Bird,_Preakness_Stakes,2009,1-Jun,6.00
124,3rd,3,Musket Man,_Preakness_Stakes,2009,1-Aug,8.00
125,4th,10,Flying Private,_Preakness_Stakes,2009,50-1,50.00
126,5th,1,Big Drama,_Preakness_Stakes,2009,1-Oct,10.00
127,6th,7,Papa Clem,_Preakness_Stakes,2009,1-Dec,12.00
128,7th,6,Terrain,_Preakness_Stakes,2009,30-1,30.00
129,8th,4,Luv Gov,_Preakness_Stakes,2009,50-1,50.00
130,9th,8,General Quarters,_Preakness_Stakes,2009,20-1,20.00
131,10th,5,Friesan Fire,_Preakness_Stakes,2009,1-Jun,6.00
132,11th,9,Pioneerof the Nile,_Preakness_Stakes,2009,1-May,5.00
133,12th,12,Tone It Down,_Preakness_Stakes,2009,50-1,50.00
134,13th,11,Take the Points,_Preakness_Stakes,2009,30-1,30.00
135,1st,7,Lookin At Lucky,_Preakness_Stakes,2010,1-Mar,3.00
136,2nd,11,First Dude,_Preakness_Stakes,2010,20-1,20.00
137,3rd,6,Jackson Bend,_Preakness_Stakes,2010,1-Dec,12.00
138,4th,5,Yawanna Twist,_Preakness_Stakes,2010,30-1,30.00
139,5th,12,Dublin,_Preakness_Stakes,2010,1-Oct,10.00
140,6th,10,Paddy O'Prado,_Preakness_Stakes,2010,4.5-1,4.50
141,7th,9,Caracortado,_Preakness_Stakes,2010,1-Oct,10.00
142,8th,8,Super Saver,_Preakness_Stakes,2010,2-May,2.50
143,9th,2,Schoolyard Dreams,_Preakness_Stakes,2010,15-1,15.00
144,10th,1,Aikenite,_Preakness_Stakes,2010,20-1,20.00
145,11th,3,Pleasant Prince,_Preakness_Stakes,2010,20-1,20.00
146,12th,4,Northern Giant,_Preakness_Stakes,2010,30-1,30.00
147,1st,5,Shackleford,_Preakness_Stakes,2011,1-Dec,12.00
